Frequency (Hz), ch0 (dB), ch1 (dB)
1571655.25, -88.48, -87.53
1579284.62, -91.04, -96.23
1586914.00, -90.76, -90.12
1594543.50, -88.35, -91.01
1602172.88, -91.17, -89.48
1609802.25, -91.07, -93.57
1617431.62, -90.62, -93.39
1625061.00, -91.79, -89.90
1632690.38, -89.53, -91.67
1640319.88, -92.46, -93.86
1647949.25, -92.01, -93.06
1655578.62, -88.76, -90.91
1663208.00, -90.74, -91.67
1670837.38, -90.76, -93.57
1678466.75, -91.10, -93.05
1686096.25, -93.85, -91.77
1693725.62, -94.39, -92.76
1701355.00, -91.93, -92.59
1708984.38, -90.98, -93.42
1716613.75, -90.00, -91.16
1724243.12, -89.01, -92.13
1731872.50, -89.22, -91.25
1739502.00, -92.33, -90.86
1747131.38, -95.68, -92.55
1754760.75, -90.17, -89.85
1762390.12, -91.64, -90.27
1770019.50, -92.49, -93.77
1777648.88, -91.11, -90.65
1785278.38, -90.58, -90.41
1792907.75, -90.79, -92.77
1800537.12, -91.39, -93.98
1808166.50, -88.20, -90.87
1815795.88, -90.03, -91.20
1823425.25, -91.16, -91.73
1831054.75, -92.02, -93.72
1838684.12, -91.90, -94.00
1846313.50, -90.55, -91.29
1853942.88, -90.73, -91.11
1861572.25, -93.10, -95.19
1869201.62, -94.02, -90.10
1876831.00, -94.71, -88.66
1884460.50, -94.24, -90.88
1892089.88, -90.63, -97.99
1899719.25, -93.22, -90.97
1907348.62, -92.47, -90.64
1914978.00, -93.93, -89.58
1922607.38, -90.55, -90.21
1930236.88, -94.35, -91.81
1937866.25, -92.06, -91.49
1945495.62, -91.44, -94.42
1953125.00, -91.77, -92.38
1960754.38, -90.25, -92.66
1968383.75, -90.50, -95.58
1976013.12, -93.05, -95.93
1983642.62, -90.07, -94.29
1991272.00, -92.00, -93.26
1998901.38, -92.50, -94.35
2006530.75, -92.68, -92.12
2014160.12, -92.67, -91.64
2021789.50, -93.21, -91.22
2029419.00, -91.97, -92.09
2037048.38, -93.47, -89.46
2044677.75, -91.54, -89.74
2052307.12, -91.59, -91.02
2059936.50, -91.99, -92.95
2067565.88, -89.77, -92.05
2075195.25, -93.27, -91.57
2082824.75, -93.55, -91.78
2090454.12, -92.84, -91.63
2098083.50, -93.36, -91.70
2105713.00, -91.53, -91.06
2113342.25, -87.97, -90.52
2120971.75, -88.70, -93.26
2128601.00, -91.17, -93.56
2136230.50, -91.32, -91.77
2143859.75, -92.38, -92.32
2151489.25, -91.23, -91.24
2159118.75, -93.22, -93.03
2166748.00, -95.82, -92.22
2174377.50, -91.06, -91.91
2182006.75, -91.74, -92.98
2189636.25, -91.81, -92.52
2197265.50, -90.41, -92.17
2204895.00, -90.51, -89.45
2212524.50, -95.44, -91.71
2220153.75, -94.41, -90.89
2227783.25, -91.74, -90.03
2235412.50, -92.12, -93.82
2243042.00, -92.28, -93.60
2250671.50, -90.62, -89.03
2258300.75, -90.48, -88.89
2265930.25, -90.72, -92.50
2273559.50, -93.10, -91.34
2281189.00, -92.65, -91.16
2288818.25, -90.57, -91.90
2296447.75, -92.47, -91.83
2304077.25, -92.12, -88.65
2311706.50, -93.69, -90.51
2319336.00, -94.94, -93.30
2326965.25, -92.31, -92.29
2334594.75, -92.55, -95.11
2342224.00, -94.94, -96.16
2349853.50, -93.50, -92.94
2357483.00, -90.87, -91.72
2365112.25, -92.17, -89.44
2372741.75, -91.20, -88.73
2380371.00, -92.59, -91.98
2388000.50, -91.69, -90.29
2395630.00, -92.91, -92.72
2403259.25, -94.05, -94.97
2410888.75, -90.11, -94.96
2418518.00, -88.64, -94.88
2426147.50, -89.54, -94.03
2433776.75, -90.24, -91.59
2441406.25, -90.93, -93.79
2449035.75, -93.72, -90.63
2456665.00, -92.35, -91.48
2464294.50, -92.51, -93.71
2471923.75, -93.19, -91.26
2479553.25, -93.75, -92.06
2487182.50, -94.36, -94.71
2494812.00, -89.30, -93.53
2502441.50, -90.90, -93.33
2510070.75, -92.28, -90.74
2517700.25, -92.45, -91.78
2525329.50, -91.97, -90.68
2532959.00, -95.51, -93.03
2540588.50, -91.60, -92.30
2548217.75, -91.62, -88.91
2555847.25, -91.06, -88.69
2563476.50, -89.34, -89.27
2571106.00, -89.63, -90.79
2578735.25, -90.19, -90.26
2586364.75, -90.56, -89.86
2593994.25, -92.90, -92.88
2601623.50, -92.40, -92.70
2609253.00, -95.08, -91.66
2616882.25, -91.52, -89.54
2624511.75, -91.72, -93.30
2632141.00, -91.67, -94.84
2639770.50, -96.68, -93.27
2647400.00, -93.77, -91.58
2655029.25, -93.44, -91.97
2662658.75, -94.51, -91.71
2670288.00, -92.95, -92.64
2677917.50, -90.26, -92.04
2685547.00, -89.32, -96.26
2693176.25, -89.69, -92.10
2700805.75, -89.76, -90.37
2708435.00, -89.94, -94.22
2716064.50, -89.38, -92.41
2723693.75, -90.12, -93.65
2731323.25, -90.68, -93.30
