Frequency (Hz), ch0 (dB), ch1 (dB)
12672424.00, -94.12, -95.56
12680054.00, -96.30, -94.65
12687683.00, -92.24, -91.44
12695312.00, -92.54, -91.75
12702942.00, -94.76, -92.07
12710571.00, -90.99, -92.88
12718201.00, -90.16, -95.23
12725830.00, -90.89, -93.00
12733459.00, -92.91, -89.77
12741089.00, -91.51, -91.71
12748718.00, -89.51, -92.34
12756348.00, -91.01, -91.83
12763977.00, -91.25, -91.71
12771606.00, -90.43, -91.70
12779236.00, -90.50, -91.30
12786865.00, -92.59, -90.20
12794495.00, -97.77, -94.57
12802124.00, -92.00, -91.01
12809753.00, -90.37, -90.98
12817383.00, -92.75, -91.72
12825012.00, -90.82, -92.98
12832642.00, -91.19, -93.22
12840271.00, -93.38, -93.63
12847900.00, -91.73, -90.88
12855530.00, -90.98, -92.24
12863159.00, -92.59, -94.71
12870789.00, -92.88, -91.64
12878418.00, -93.79, -91.09
12886047.00, -92.35, -94.67
12893677.00, -91.08, -95.35
12901306.00, -94.57, -92.96
12908936.00, -93.41, -92.96
12916565.00, -91.79, -93.17
12924194.00, -91.57, -91.92
12931824.00, -89.37, -93.44
12939453.00, -92.30, -91.27
12947083.00, -94.82, -92.10
12954712.00, -94.54, -91.26
12962341.00, -92.75, -91.86
12969971.00, -92.75, -91.80
12977600.00, -90.57, -93.56
12985229.00, -91.93, -92.75
12992859.00, -95.83, -90.48
13000488.00, -96.47, -91.62
13008118.00, -91.78, -94.09
13015747.00, -91.61, -93.83
13023376.00, -92.97, -92.78
13031006.00, -90.35, -92.03
13038635.00, -94.83, -91.88
13046265.00, -95.36, -91.18
13053894.00, -90.79, -91.27
13061523.00, -90.07, -89.79
13069153.00, -91.05, -91.30
13076782.00, -89.91, -90.65
13084412.00, -92.36, -90.92
13092041.00, -91.25, -91.47
13099670.00, -95.08, -91.94
13107300.00, -91.59, -91.72
13114929.00, -91.63, -94.22
13122559.00, -92.00, -90.68
13130188.00, -93.40, -90.80
13137817.00, -92.45, -88.82
13145447.00, -90.71, -90.35
13153076.00, -89.40, -89.63
13160706.00, -89.97, -91.35
13168335.00, -91.82, -93.67
13175964.00, -90.33, -93.98
13183594.00, -91.46, -91.35
13191223.00, -91.21, -90.88
13198853.00, -90.46, -92.68
13206482.00, -94.44, -89.87
13214111.00, -89.85, -90.82
13221741.00, -94.22, -90.49
13229370.00, -93.83, -92.07
13237000.00, -91.58, -92.70
13244629.00, -93.72, -92.64
13252258.00, -94.14, -92.51
13259888.00, -93.89, -92.65
13267517.00, -93.40, -92.37
13275146.00, -91.96, -89.83
13282776.00, -93.27, -90.52
13290405.00, -91.35, -89.58
13298035.00, -91.11, -90.82
13305664.00, -95.42, -90.32
13313293.00, -90.38, -94.88
13320923.00, -92.18, -93.57
13328552.00, -91.86, -89.36
13336182.00, -93.40, -92.86
13343811.00, -93.64, -91.22
13351440.00, -94.03, -91.01
13359070.00, -93.25, -94.34
13366699.00, -91.86, -94.58
13374329.00, -92.02, -94.38
13381958.00, -90.05, -91.52
13389587.00, -90.45, -92.28
13397217.00, -92.88, -94.43
13404846.00, -92.51, -94.73
13412476.00, -93.54, -92.01
13420105.00, -94.96, -91.72
13427734.00, -94.03, -92.63
13435364.00, -91.60, -90.68
13442993.00, -89.67, -91.63
13450623.00, -92.01, -94.38
13458252.00, -92.80, -96.14
13465881.00, -91.44, -92.07
13473511.00, -91.60, -90.91
13481140.00, -92.53, -91.88
13488770.00, -90.96, -89.82
13496399.00, -90.84, -92.41
13504028.00, -94.50, -91.52
13511658.00, -92.88, -88.31
13519287.00, -94.10, -90.03
13526917.00, -92.54, -91.62
13534546.00, -92.74, -91.21
13542175.00, -90.39, -95.57
13549805.00, -92.00, -92.82
13557434.00, -89.46, -88.93
13565063.00, -89.15, -87.69
13572693.00, -94.43, -91.39
13580322.00, -95.07, -91.77
13587952.00, -92.44, -92.77
13595581.00, -90.33, -91.63
13603210.00, -90.41, -91.93
13610840.00, -91.18, -97.63
13618469.00, -94.31, -91.18
13626099.00, -90.70, -90.86
13633728.00, -91.02, -93.66
13641357.00, -93.89, -96.29
13648987.00, -91.07, -91.09
13656616.00, -91.41, -91.56
13664246.00, -90.99, -96.26
13671875.00, -93.11, -91.01
13679504.00, -91.61, -91.16
13687134.00, -93.02, -89.90
13694763.00, -98.88, -91.71
13702393.00, -96.62, -90.24
13710022.00, -93.75, -89.94
13717651.00, -91.73, -92.77
13725281.00, -95.16, -92.25
13732910.00, -91.59, -93.78
13740540.00, -93.58, -91.53
13748169.00, -91.86, -92.05
13755798.00, -90.57, -90.22
13763428.00, -90.67, -90.59
13771057.00, -90.87, -91.78
13778687.00, -94.01, -90.96
13786316.00, -91.89, -90.21
13793945.00, -89.33, -93.80
13801575.00, -95.37, -93.76
13809204.00, -93.15, -91.60
13816833.00, -93.01, -92.51
13824463.00, -94.65, -94.23
13832092.00, -91.76, -91.92
13839722.00, -92.71, -95.65
13847351.00, -93.30, -93.04
13854980.00, -91.11, -91.36
13862610.00, -90.95, -92.90
13870239.00, -89.06, -91.10
13877869.00, -90.41, -91.65
13885498.00, -92.71, -91.78
13893127.00, -92.65, -92.87
13900757.00, -93.98, -91.76
13908386.00, -94.82, -90.89
13916016.00, -91.39, -92.48
13923645.00, -93.35, -91.77
13931274.00, -92.62, -90.39
13938904.00, -90.94, -93.46
13946533.00, -91.65, -90.24
13954163.00, -93.25, -91.06
13961792.00, -92.15, -93.17
13969421.00, -92.78, -92.16
13977051.00, -92.49, -91.19
13984680.00, -91.73, -90.59
13992310.00, -93.08, -93.54
13999939.00, -92.69, -95.39
14007568.00, -94.17, -93.08
14015198.00, -92.57, -95.21
14022827.00, -91.40, -93.81
14030457.00, -93.90, -92.65
14038086.00, -92.85, -94.59
14045715.00, -96.38, -90.46
14053345.00, -93.11, -92.61
14060974.00, -91.89, -95.12
14068604.00, -92.32, -93.67
14076233.00, -93.19, -93.92
14083862.00, -92.85, -90.16
14091492.00, -93.37, -89.85
14099121.00, -93.31, -90.80
14106750.00, -90.36, -94.53
14114380.00, -89.32, -91.28
14122009.00, -89.84, -93.49
14129639.00, -88.23, -92.69
14137268.00, -90.13, -90.56
14144897.00, -91.42, -88.91
14152527.00, -93.48, -89.23
14160156.00, -96.22, -90.88
14167786.00, -96.54, -93.10
14175415.00, -92.98, -90.50
14183044.00, -93.78, -92.81
14190674.00, -90.69, -89.85
14198303.00, -91.39, -89.17
14205933.00, -94.13, -89.91
14213562.00, -94.07, -94.60
14221191.00, -91.65, -92.75
14228821.00, -92.19, -91.41
14236450.00, -92.47, -89.34
14244080.00, -92.13, -89.42
14251709.00, -91.73, -93.92
14259338.00, -92.05, -95.64
14266968.00, -92.05, -96.55
14274597.00, -90.97, -96.32
14282227.00, -91.50, -94.92
14289856.00, -92.24, -91.68
14297485.00, -90.39, -88.69
14305115.00, -92.69, -92.26
14312744.00, -91.68, -90.99
14320374.00, -93.50, -94.68
14328003.00, -93.99, -94.80
14335632.00, -90.65, -93.00
14343262.00, -91.55, -93.72
14350891.00, -92.89, -92.55
14358521.00, -92.38, -94.13
14366150.00, -90.84, -93.20
14373779.00, -92.86, -94.13
14381409.00, -92.21, -93.57
14389038.00, -95.36, -91.90
14396667.00, -91.95, -91.91
14404297.00, -92.93, -91.86
14411926.00, -91.62, -90.80
14419556.00, -91.51, -89.95
14427185.00, -93.51, -94.46
14434814.00, -92.75, -92.30
14442444.00, -91.02, -93.59
14450073.00, -90.38, -95.56
14457703.00, -94.29, -93.16
14465332.00, -91.00, -94.12
14472961.00, -91.97, -94.13
14480591.00, -94.56, -94.24
14488220.00, -93.25, -91.38
14495850.00, -89.97, -90.77
14503479.00, -90.74, -96.58
14511108.00, -89.99, -95.19
14518738.00, -90.28, -90.07
14526367.00, -94.06, -91.14
14533997.00, -91.79, -95.27
14541626.00, -90.51, -94.34
14549255.00, -90.73, -91.15
14556885.00, -88.86, -90.45
14564514.00, -91.45, -93.79
14572144.00, -97.17, -92.29
14579773.00, -93.22, -91.24
14587402.00, -91.71, -93.69
14595032.00, -92.77, -91.53
14602661.00, -93.74, -92.75
14610291.00, -95.49, -94.44
14617920.00, -93.42, -92.76
14625549.00, -93.78, -93.64
14633179.00, -91.89, -91.84
14640808.00, -90.39, -90.56
14648438.00, -90.31, -92.09
14656067.00, -90.48, -93.43
14663696.00, -92.51, -91.70
14671326.00, -92.44, -91.29
14678955.00, -89.56, -92.51
14686584.00, -91.28, -90.56
14694214.00, -94.31, -89.28
14701843.00, -90.94, -89.17
14709473.00, -91.61, -92.27
14717102.00, -91.82, -91.73
14724731.00, -91.28, -92.78
14732361.00, -92.67, -92.76
14739990.00, -93.41, -95.63
14747620.00, -94.29, -94.47
14755249.00, -89.89, -93.61
14762878.00, -89.98, -92.46
14770508.00, -90.84, -96.08
14778137.00, -92.93, -94.82
14785767.00, -95.03, -97.45
14793396.00, -92.27, -91.62
14801025.00, -91.12, -89.55
14808655.00, -93.05, -89.78
14816284.00, -90.76, -92.75
14823914.00, -91.46, -91.94
14831543.00, -93.40, -90.11
14839172.00, -93.89, -89.75
14846802.00, -92.27, -95.54
14854431.00, -93.45, -92.20
14862061.00, -89.75, -91.69
14869690.00, -89.17, -92.22
14877319.00, -91.09, -91.99
14884949.00, -88.92, -92.22
14892578.00, -88.62, -94.08
14900208.00, -89.47, -89.82
14907837.00, -91.07, -90.43
14915466.00, -92.54, -92.87
14923096.00, -94.27, -93.30
14930725.00, -89.42, -93.86
14938354.00, -91.01, -92.89
14945984.00, -96.08, -91.21
14953613.00, -94.17, -93.49
14961243.00, -94.26, -93.02
14968872.00, -93.01, -93.26
14976501.00, -94.63, -94.39
14984131.00, -94.26, -93.68
14991760.00, -92.98, -92.32
14999390.00, -96.10, -92.66
15007019.00, -91.36, -93.04
15014648.00, -90.39, -96.23
15022278.00, -89.85, -91.07
15029907.00, -93.46, -90.66
15037537.00, -92.55, -90.88
15045166.00, -93.94, -90.27
15052795.00, -93.44, -90.70
15060425.00, -92.60, -92.99
15068054.00, -91.50, -91.28
15075684.00, -89.69, -91.81
15083313.00, -90.94, -90.86
15090942.00, -94.22, -90.55
15098572.00, -93.16, -93.42
15106201.00, -92.21, -93.99
15113831.00, -92.90, -92.54
15121460.00, -92.88, -91.45
15129089.00, -95.38, -91.68
15136719.00, -93.19, -92.80
15144348.00, -93.45, -91.81
15151978.00, -92.82, -92.57
15159607.00, -90.04, -88.27
15167236.00, -89.26, -90.34
15174866.00, -90.81, -92.92
15182495.00, -90.32, -93.01
15190125.00, -91.13, -90.97
15197754.00, -91.77, -94.83
15205383.00, -89.29, -92.62
15213013.00, -92.99, -91.27
15220642.00, -93.78, -91.21
15228271.00, -92.84, -90.18
15235901.00, -92.97, -88.78
15243530.00, -92.04, -90.63
15251160.00, -91.11, -93.23
15258789.00, -92.59, -94.12
15266418.00, -93.64, -92.35
15274048.00, -95.30, -89.11
15281677.00, -92.15, -90.97
15289307.00, -93.84, -91.04
15296936.00, -93.35, -93.81
15304565.00, -93.40, -94.65
15312195.00, -92.16, -92.07
15319824.00, -91.98, -90.71
15327454.00, -91.74, -91.15
15335083.00, -91.19, -91.73
15342712.00, -93.54, -92.65
15350342.00, -93.54, -92.89
15357971.00, -93.26, -94.34
15365601.00, -89.88, -95.09
15373230.00, -91.91, -93.24
15380859.00, -91.51, -92.10
15388489.00, -91.11, -92.61
15396118.00, -88.87, -90.69
15403748.00, -90.60, -90.27
15411377.00, -94.59, -91.33
15419006.00, -92.72, -91.84
15426636.00, -91.75, -91.58
15434265.00, -94.09, -93.03
15441895.00, -92.06, -95.95
15449524.00, -92.08, -90.30
15457153.00, -94.23, -92.67
15464783.00, -91.82, -92.78
15472412.00, -91.41, -90.75
15480042.00, -93.35, -91.00
15487671.00, -93.53, -91.15
15495300.00, -90.33, -92.80
15502930.00, -92.56, -92.45
15510559.00, -93.82, -92.90
15518188.00, -94.41, -93.01
15525818.00, -90.92, -93.27
15533447.00, -91.54, -90.31
15541077.00, -91.47, -93.40
15548706.00, -93.85, -89.44
15556335.00, -93.61, -90.71
15563965.00, -92.89, -93.95
15571594.00, -93.55, -90.32
15579224.00, -97.60, -90.17
15586853.00, -90.21, -90.73
15594482.00, -88.60, -90.70
15602112.00, -90.06, -95.33
15609741.00, -90.24, -92.21
15617371.00, -90.75, -93.66
15625000.00, -91.34, -90.87
15632629.00, -90.90, -90.78
15640259.00, -89.96, -92.09
15647888.00, -93.65, -98.10
15655518.00, -90.35, -95.07
15663147.00, -90.07, -91.23
15670776.00, -90.30, -91.95
15678406.00, -93.03, -90.78
15686035.00, -88.58, -93.27
15693665.00, -89.38, -94.05
15701294.00, -90.55, -95.52
15708923.00, -91.23, -90.81
15716553.00, -89.99, -89.50
15724182.00, -90.35, -89.68
15731812.00, -90.01, -93.51
15739441.00, -92.31, -94.68
15747070.00, -91.06, -93.24
15754700.00, -89.45, -94.75
15762329.00, -90.81, -90.26
15769958.00, -90.79, -92.07
15777588.00, -93.07, -93.94
15785217.00, -92.85, -99.21
15792847.00, -93.93, -95.59
15800476.00, -94.22, -92.64
15808105.00, -96.38, -93.01
15815735.00, -94.68, -93.51
15823364.00, -92.46, -93.48
15830994.00, -94.21, -94.15
15838623.00, -92.36, -90.27
15846252.00, -91.27, -90.25
15853882.00, -92.56, -91.31
15861511.00, -93.32, -90.78
15869141.00, -95.58, -95.97
15876770.00, -92.53, -93.23
15884399.00, -91.53, -92.23
15892029.00, -92.04, -93.44
15899658.00, -93.97, -92.41
15907288.00, -92.36, -92.30
15914917.00, -90.98, -94.86
15922546.00, -92.26, -90.74
15930176.00, -90.00, -90.81
15937805.00, -91.38, -92.71
15945435.00, -93.76, -91.48
15953064.00, -90.93, -92.40
15960693.00, -87.76, -89.17
15968323.00, -88.53, -91.55
15975952.00, -93.15, -93.57
15983582.00, -93.46, -94.44
15991211.00, -91.56, -92.85
15998840.00, -91.14, -92.66
16006470.00, -90.03, -89.28
16014099.00, -91.49, -91.17
16021729.00, -94.37, -92.88
16029358.00, -90.53, -89.71
16036987.00, -92.91, -88.39
16044617.00, -93.51, -88.82
16052246.00, -91.63, -88.05
16059875.00, -94.18, -90.76
16067505.00, -92.59, -91.55
16075134.00, -91.69, -91.17
16082764.00, -90.85, -89.72
16090393.00, -89.28, -95.02
16098022.00, -90.91, -92.39
16105652.00, -93.63, -91.11
16113281.00, -95.48, -95.07
16120911.00, -89.06, -92.15
16128540.00, -90.55, -91.24
16136169.00, -90.92, -92.00
16143799.00, -94.69, -91.46
16151428.00, -89.94, -91.56
16159058.00, -90.92, -93.82
16166687.00, -89.91, -90.60
16174316.00, -91.06, -89.75
16181946.00, -96.75, -91.15
16189575.00, -91.06, -92.38
16197205.00, -88.34, -90.91
16204834.00, -90.75, -90.42
16212463.00, -90.11, -90.84
16220093.00, -95.54, -93.32
16227722.00, -94.83, -94.22
16235352.00, -92.84, -91.80
16242981.00, -91.32, -91.85
16250610.00, -91.19, -91.24
16258240.00, -90.08, -90.97
16265869.00, -90.40, -89.43
16273499.00, -93.88, -89.54
16281128.00, -93.04, -90.55
16288757.00, -92.55, -91.58
16296387.00, -91.12, -94.71
16304016.00, -91.05, -95.08
16311646.00, -96.36, -89.52
16319275.00, -94.68, -90.58
16326904.00, -92.22, -95.71
16334534.00, -92.09, -97.86
16342163.00, -90.27, -93.48
16349792.00, -90.63, -90.41
16357422.00, -91.03, -91.46
16365051.00, -91.16, -93.36
16372681.00, -91.66, -95.55
16380310.00, -92.49, -92.80
16387939.00, -92.65, -91.67
16395569.00, -92.34, -92.69
16403198.00, -92.37, -92.06
16410828.00, -90.47, -93.08
16418457.00, -92.52, -93.61
16426086.00, -93.21, -90.64
16433716.00, -91.49, -89.52
16441345.00, -90.79, -92.68
16448975.00, -94.14, -92.83
16456604.00, -91.07, -90.37
16464233.00, -90.46, -92.13
16471863.00, -94.91, -92.30
16479492.00, -94.05, -90.72
16487122.00, -93.19, -91.37
16494751.00, -93.08, -92.42
16502380.00, -93.27, -92.12
16510010.00, -89.57, -91.52
16517639.00, -90.56, -93.23
16525269.00, -93.77, -93.87
16532898.00, -96.76, -95.40
16540527.00, -94.98, -91.79
16548157.00, -96.95, -91.16
16555786.00, -91.92, -91.40
16563416.00, -92.01, -90.99
16571045.00, -91.24, -91.74
16578674.00, -92.37, -92.96
16586304.00, -92.22, -92.18
16593933.00, -93.98, -89.69
16601562.00, -95.14, -91.54
16609192.00, -92.58, -92.00
16616821.00, -91.45, -90.66
16624451.00, -88.99, -92.36
16632080.00, -90.61, -92.30
16639709.00, -90.31, -92.23
16647339.00, -90.84, -94.17
16654968.00, -93.11, -94.23
16662598.00, -94.14, -94.10
16670227.00, -96.30, -90.96
16677856.00, -96.54, -91.46
16685486.00, -95.34, -91.44
16693115.00, -93.52, -91.89
16700745.00, -97.34, -89.96
16708374.00, -94.74, -91.05
16716003.00, -93.32, -91.41
16723633.00, -94.99, -90.25
16731262.00, -95.20, -89.51
16738892.00, -92.52, -90.67
16746521.00, -91.22, -90.06
16754150.00, -90.03, -93.58
16761780.00, -91.29, -91.83
16769409.00, -91.65, -94.01
16777039.00, -91.69, -90.82
16784668.00, -93.20, -90.59
16792298.00, -92.20, -92.09
16799926.00, -91.21, -90.15
16807556.00, -92.70, -89.71
16815186.00, -91.44, -92.60
16822814.00, -95.80, -91.40
16830444.00, -93.88, -93.74
16838074.00, -92.96, -91.17
16845704.00, -92.82, -91.08
16853332.00, -92.14, -93.46
16860962.00, -93.26, -92.87
16868592.00, -93.49, -90.83
16876220.00, -92.38, -93.34
16883850.00, -91.73, -91.01
16891480.00, -92.53, -93.26
16899108.00, -93.15, -93.22
16906738.00, -90.19, -90.07
16914368.00, -89.79, -90.20
16921998.00, -87.04, -93.33
16929626.00, -90.45, -90.96
16937256.00, -93.59, -95.33
16944886.00, -94.63, -93.31
16952514.00, -91.81, -90.45
16960144.00, -94.43, -90.70
16967774.00, -90.73, -91.05
16975402.00, -91.16, -89.24
16983032.00, -89.66, -91.26
16990662.00, -92.64, -89.31
16998292.00, -92.32, -89.52
17005920.00, -92.07, -93.40
17013550.00, -93.44, -92.23
17021180.00, -93.96, -93.23
17028808.00, -93.71, -91.67
17036438.00, -91.93, -94.19
17044068.00, -93.74, -95.00
17051696.00, -95.74, -93.07
17059326.00, -94.15, -90.85
17066956.00, -90.06, -91.86
17074584.00, -89.79, -90.95
17082214.00, -91.72, -92.17
17089844.00, -95.03, -95.17
17097474.00, -92.80, -91.05
17105102.00, -91.36, -89.89
17112732.00, -92.41, -94.18
17120362.00, -90.67, -94.83
17127990.00, -89.17, -91.89
17135620.00, -89.85, -94.31
17143250.00, -90.42, -91.56
17150878.00, -91.07, -92.38
17158508.00, -90.90, -91.42
17166138.00, -93.42, -91.81
17173768.00, -94.24, -90.15
17181396.00, -93.13, -88.98
17189026.00, -95.47, -91.11
17196656.00, -92.64, -89.79
17204284.00, -91.87, -90.35
17211914.00, -92.74, -92.95
17219544.00, -89.87, -91.62
17227172.00, -89.75, -91.89
17234802.00, -90.03, -92.43
17242432.00, -92.35, -91.71
17250062.00, -92.64, -90.49
17257690.00, -92.37, -91.93
17265320.00, -93.47, -89.84
17272950.00, -93.15, -90.80
17280578.00, -91.93, -93.00
17288208.00, -93.38, -92.57
17295838.00, -92.52, -89.52
17303466.00, -91.84, -92.53
17311096.00, -90.03, -90.15
17318726.00, -90.86, -90.81
17326354.00, -92.28, -94.01
17333984.00, -91.91, -91.63
17341614.00, -89.74, -92.67
17349244.00, -94.19, -91.17
17356872.00, -91.33, -92.63
17364502.00, -91.79, -91.89
17372132.00, -92.11, -91.12
17379760.00, -92.56, -91.36
17387390.00, -88.90, -93.68
17395020.00, -91.92, -90.64
17402648.00, -91.50, -90.21
17410278.00, -92.05, -92.21
17417908.00, -92.25, -92.03
17425538.00, -92.16, -95.17
17433166.00, -90.32, -92.47
17440796.00, -91.39, -92.07
17448426.00, -90.66, -94.24
17456054.00, -89.98, -91.64
17463684.00, -93.34, -91.48
17471314.00, -91.76, -91.33
17478942.00, -91.69, -90.83
17486572.00, -92.80, -91.82
17494202.00, -95.31, -90.50
17501832.00, -92.27, -92.72
17509460.00, -91.82, -92.76
17517090.00, -92.55, -94.57
17524720.00, -92.26, -93.49
17532348.00, -92.02, -96.14
17539978.00, -97.62, -95.40
17547608.00, -94.62, -93.03
17555236.00, -91.12, -92.33
17562866.00, -90.65, -89.59
17570496.00, -93.24, -90.03
17578124.00, -92.95, -90.07
17585754.00, -90.39, -93.32
17593384.00, -89.16, -91.72
17601014.00, -90.01, -91.61
17608642.00, -90.41, -93.89
17616272.00, -91.64, -92.86
17623902.00, -91.95, -90.16
17631530.00, -94.82, -92.24
17639160.00, -93.50, -91.47
17646790.00, -90.23, -92.34
17654418.00, -93.46, -95.31
17662048.00, -94.21, -95.35
17669678.00, -93.87, -95.50
17677308.00, -94.57, -91.75
17684936.00, -93.39, -92.30
17692566.00, -94.46, -94.08
17700196.00, -93.92, -92.93
17707824.00, -90.78, -90.63
17715454.00, -93.46, -92.33
17723084.00, -90.33, -91.02
17730712.00, -91.86, -91.06
17738342.00, -92.85, -92.35
17745972.00, -91.39, -94.94
17753602.00, -91.16, -94.93
17761230.00, -93.72, -92.44
17768860.00, -95.24, -92.04
17776490.00, -94.42, -93.88
17784118.00, -90.41, -94.14
17791748.00, -90.89, -92.30
17799378.00, -93.95, -92.25
17807006.00, -93.79, -90.77
17814636.00, -89.22, -90.62
17822266.00, -89.74, -92.45
17829896.00, -95.17, -96.17
17837524.00, -92.49, -93.15
17845154.00, -93.05, -91.50
17852784.00, -92.06, -92.30
17860412.00, -90.74, -95.24
17868042.00, -91.72, -93.74
17875672.00, -92.81, -91.46
17883300.00, -90.35, -94.90
17890930.00, -89.88, -93.35
17898560.00, -89.76, -92.37
17906188.00, -94.41, -91.97
17913818.00, -90.22, -93.95
17921448.00, -92.72, -91.93
17929078.00, -89.63, -91.09
17936706.00, -92.38, -92.62
17944336.00, -92.37, -91.47
17951966.00, -93.50, -90.67
17959594.00, -92.23, -89.90
17967224.00, -90.60, -90.38
17974854.00, -90.50, -91.01
17982482.00, -90.74, -93.52
17990112.00, -92.06, -91.07
17997742.00, -91.16, -90.91
18005372.00, -92.02, -92.05
18013000.00, -90.74, -92.50
18020630.00, -92.52, -95.63
18028260.00, -93.68, -90.94
18035888.00, -94.91, -92.53
18043518.00, -92.03, -93.75
18051148.00, -92.02, -92.75
18058776.00, -90.57, -92.04
18066406.00, -90.41, -93.37
18074036.00, -90.96, -89.89
18081666.00, -92.15, -92.21
18089294.00, -91.67, -90.16
18096924.00, -89.62, -91.42
18104554.00, -92.75, -93.80
18112182.00, -94.72, -91.43
18119812.00, -93.27, -90.60
18127442.00, -93.66, -91.05
18135070.00, -91.59, -92.10
18142700.00, -92.31, -92.63
18150330.00, -90.02, -93.19
18157958.00, -89.89, -91.56
18165588.00, -90.81, -91.18
18173218.00, -93.70, -90.72
18180848.00, -92.86, -92.40
18188476.00, -93.89, -94.21
18196106.00, -90.73, -91.75
18203736.00, -95.56, -89.37
18211364.00, -91.22, -92.29
18218994.00, -90.71, -92.87
18226624.00, -92.56, -91.16
18234252.00, -91.25, -92.04
18241882.00, -91.46, -91.16
18249512.00, -90.93, -93.74
18257142.00, -91.33, -93.36
18264770.00, -94.46, -91.41
18272400.00, -92.78, -96.07
18280030.00, -90.98, -91.41
18287658.00, -94.14, -89.25
18295288.00, -94.74, -90.26
18302918.00, -92.64, -92.10
18310546.00, -91.17, -92.66
18318176.00, -89.56, -91.54
18325806.00, -93.61, -89.42
18333436.00, -91.23, -93.88
18341064.00, -94.21, -92.96
18348694.00, -93.41, -91.51
18356324.00, -94.34, -93.00
18363952.00, -96.23, -94.32
18371582.00, -93.68, -93.74
18379212.00, -93.09, -91.72
18386840.00, -92.91, -91.95
18394470.00, -90.21, -92.71
18402100.00, -88.60, -89.94
18409730.00, -90.83, -89.43
18417358.00, -95.22, -91.21
18424988.00, -93.84, -90.29
18432618.00, -92.46, -93.34
18440246.00, -92.74, -93.75
18447876.00, -93.00, -95.84
18455506.00, -90.51, -92.85
18463134.00, -90.80, -90.12
18470764.00, -90.63, -92.27
18478394.00, -91.02, -93.98
18486022.00, -94.00, -92.72
18493652.00, -91.24, -91.46
18501282.00, -90.96, -90.60
18508912.00, -92.51, -91.09
18516540.00, -92.28, -92.42
18524170.00, -93.47, -94.52
18531800.00, -90.94, -95.64
18539428.00, -92.65, -94.79
18547058.00, -98.13, -91.87
18554688.00, -91.85, -91.67
18562316.00, -91.23, -90.00
18569946.00, -94.05, -95.85
18577576.00, -92.00, -94.28
18585206.00, -91.61, -92.40
18592834.00, -92.58, -92.31
18600464.00, -94.84, -93.77
18608094.00, -94.63, -95.21
18615722.00, -93.32, -92.65
18623352.00, -91.75, -92.87
18630982.00, -90.04, -93.79
18638610.00, -90.67, -92.11
18646240.00, -93.75, -89.56
18653870.00, -92.11, -92.30
18661500.00, -91.60, -94.69
18669128.00, -91.63, -94.22
18676758.00, -90.24, -93.91
18684388.00, -90.82, -92.69
18692016.00, -91.97, -91.13
18699646.00, -91.07, -92.62
18707276.00, -92.05, -93.78
18714904.00, -94.35, -91.16
18722534.00, -91.51, -89.85
18730164.00, -90.86, -89.55
18737792.00, -92.03, -91.21
18745422.00, -93.88, -90.87
18753052.00, -91.29, -91.14
18760682.00, -92.81, -95.70
18768310.00, -94.02, -94.22
18775940.00, -92.51, -94.60
18783570.00, -93.95, -93.51
18791198.00, -90.85, -93.10
18798828.00, -88.48, -91.52
18806458.00, -91.58, -92.09
18814086.00, -94.92, -92.43
18821716.00, -93.74, -90.86
18829346.00, -88.98, -95.51
18836976.00, -90.02, -91.65
18844604.00, -90.13, -93.80
18852234.00, -90.12, -92.14
18859864.00, -92.24, -92.09
18867492.00, -91.31, -93.61
18875122.00, -93.01, -96.87
18882752.00, -93.53, -93.67
18890380.00, -90.73, -93.38
18898010.00, -92.99, -93.46
18905640.00, -92.02, -95.37
18913270.00, -92.67, -94.37
18920898.00, -92.42, -93.61
18928528.00, -94.26, -91.39
18936158.00, -91.48, -90.30
18943786.00, -93.39, -90.89
18951416.00, -92.58, -94.26
18959046.00, -90.45, -93.86
18966674.00, -91.31, -90.64
18974304.00, -92.95, -89.41
18981934.00, -93.43, -89.34
18989562.00, -91.54, -88.28
18997192.00, -90.71, -90.39
19004822.00, -91.40, -92.11
19012452.00, -91.15, -91.23
19020080.00, -93.56, -91.26
19027710.00, -90.64, -93.95
19035340.00, -92.10, -94.67
19042968.00, -89.56, -92.01
19050598.00, -89.19, -91.02
19058228.00, -90.53, -91.64
19065856.00, -90.97, -91.42
19073486.00, -89.21, -90.62
19081116.00, -92.10, -91.88
19088746.00, -92.45, -93.12
19096374.00, -90.13, -91.97
19104004.00, -92.19, -91.70
19111634.00, -89.87, -90.32
19119262.00, -92.89, -93.47
19126892.00, -90.75, -92.94
19134522.00, -91.71, -92.62
19142150.00, -92.40, -91.48
19149780.00, -96.32, -94.54
19157410.00, -92.55, -93.27
19165040.00, -93.28, -93.75
19172668.00, -92.22, -93.34
19180298.00, -91.84, -92.27
19187928.00, -91.35, -94.26
19195556.00, -90.26, -93.90
19203186.00, -89.88, -92.52
19210816.00, -91.94, -91.62
19218444.00, -90.73, -93.15
19226074.00, -90.84, -92.65
19233704.00, -93.42, -92.47
19241334.00, -94.54, -93.54
19248962.00, -92.59, -93.82
19256592.00, -91.71, -92.58
19264222.00, -94.81, -91.14
19271850.00, -92.28, -93.82
19279480.00, -92.08, -91.48
19287110.00, -95.06, -89.98
19294738.00, -95.17, -89.89
19302368.00, -94.06, -89.41
19309998.00, -91.37, -93.51
19317626.00, -91.73, -92.51
19325256.00, -91.32, -91.25
